date,temp_min,temp_max,temp_mean
1950-01-01,37.7,46.6,42.1
1950-01-02,44.1,50.4,46.7
1950-01-03,50.5,58.4,54.9
1950-01-04,25.2,50.3,36.4
1950-01-05,23.0,30.5,26.2
1950-01-06,23.4,28.6,25.9
1950-01-07,13.8,28.3,20.9
1950-01-08,-2.2,23.8,12.3
1950-01-09,24.7,42.5,36.1
1950-01-10,28.6,55.1,43.0
1950-01-11,19.5,28.2,23.8
1950-01-12,24.8,40.7,32.8
1950-01-13,37.2,59.7,48.8
1950-01-14,23.3,52.9,31.1
1950-01-15,21.9,50.3,33.9
1950-01-16,18.3,27.1,22.4
1950-01-17,17.1,38.4,27.3
1950-01-18,8.8,38.2,22.1
1950-01-19,7.2,25.0,15.5
1950-01-20,11.7,25.8,19.2
1950-01-21,21.9,37.8,29.5
1950-01-22,33.3,44.5,36.5
1950-01-23,29.3,36.0,32.9
1950-01-24,28.4,59.3,41.3
1950-01-25,59.8,65.0,62.3
1950-01-26,20.2,59.8,34.7
1950-01-27,13.3,27.0,19.8
1950-01-28,21.8,42.2,32.0
1950-01-29,22.4,43.5,36.3
1950-01-30,15.4,23.2,18.8
1950-01-31,17.6,28.6,22.2
1950-02-01,16.2,33.3,24.2
1950-02-02,18.1,33.0,25.6
1950-02-03,15.5,31.3,22.3
1950-02-04,21.0,37.0,27.8
1950-02-05,20.9,39.5,30.7
1950-02-06,31.0,42.5,37.0
1950-02-07,23.5,35.2,29.2
1950-02-08,23.0,37.2,29.9
1950-02-09,26.9,40.1,33.9
1950-02-10,25.0,39.0,32.7
1950-02-11,25.3,37.7,31.6
1950-02-12,23.1,35.6,27.8
1950-02-13,26.7,31.9,28.4
1950-02-14,32.5,42.7,36.5
1950-02-15,26.5,33.9,31.1
1950-02-16,21.4,29.0,25.3
1950-02-17,18.8,34.2,25.7
1950-02-18,23.2,40.8,30.8
1950-02-19,8.3,30.2,20.1
1950-02-20,-5.1,16.8,6.9
1950-02-21,14.8,26.6,21.5
1950-02-22,13.8,20.8,18.3
1950-02-23,10.4,29.6,19.3
1950-02-24,5.9,22.7,16.6
1950-02-25,-4.8,18.2,7.1
1950-02-26,2.7,20.6,10.1
1950-02-27,-3.0,25.1,12.6
1950-02-28,20.9,39.6,31.5
1950-03-01,9.3,29.1,19.0
1950-03-02,0.7,10.6,5.8
1950-03-03,-0.4,22.2,9.5
1950-03-04,2.7,36.3,22.3
1950-03-05,30.5,45.3,38.4
1950-03-06,11.4,28.4,21.6
1950-03-07,20.3,50.9,37.4
1950-03-08,13.7,47.1,31.3
1950-03-09,10.2,25.9,16.7
1950-03-10,12.6,35.7,23.6
1950-03-11,28.2,41.1,33.5
